Data,Valoare PLN (exprimată in lei),Variație,Variație.1
18.02.2025,1.1963,-0.0003,-0.03%
19.02.2025,1.1949,-0.0014,-0.12%
20.02.2025,1.1948,-0.0001,-0.01%
21.02.2025,1.194,-0.0008,-0.07%
24.02.2025,1.1984,0.0044,+0.37%
25.02.2025,1.2028,0.0044,+0.37%
26.02.2025,1.2003,-0.0025,-0.21%
27.02.2025,1.2028,0.0025,+0.21%
28.02.2025,1.1988,-0.004,-0.33%
03.03.2025,1.1911,-0.0077,-0.64%
04.03.2025,1.1971,0.006,+0.5%
05.03.2025,1.1972,0.0001,+0.01%
06.03.2025,1.1911,-0.0061,-0.51%
07.03.2025,1.1904,-0.0007,-0.06%
10.03.2025,1.1874,-0.003,-0.25%
11.03.2025,1.1887,0.0013,+0.11%
12.03.2025,1.1864,-0.0023,-0.19%
13.03.2025,1.1859,-0.0005,-0.04%
14.03.2025,1.1914,0.0055,+0.46%
17.03.2025,1.189,-0.0024,-0.2%
18.03.2025,1.1911,0.0021,+0.18%
19.03.2025,1.1839,-0.0072,-0.6%
20.03.2025,1.1868,0.0029,+0.24%
21.03.2025,1.1862,-0.0006,-0.05%
24.03.2025,1.19,0.0038,+0.32%
25.03.2025,1.1939,0.0039,+0.33%
26.03.2025,1.1934,-0.0005,-0.04%
27.03.2025,1.1861,-0.0073,-0.61%
28.03.2025,1.1918,0.0057,+0.48%
31.03.2025,1.1892,-0.0026,-0.22%
01.04.2025,1.1888,-0.0004,-0.03%
02.04.2025,1.1926,0.0038,+0.32%
03.04.2025,1.1888,-0.0038,-0.32%
04.04.2025,1.1699,-0.0189,-1.59%
07.04.2025,1.1586,-0.0113,-0.97%
08.04.2025,1.1613,0.0027,+0.23%
09.04.2025,1.1613,,
10.04.2025,1.17,0.0087,+0.75%
11.04.2025,1.1587,-0.0113,-0.97%
14.04.2025,1.1637,0.005,+0.43%
15.04.2025,1.1618,-0.0019,-0.16%
16.04.2025,1.1581,-0.0037,-0.32%
17.04.2025,1.1597,0.0016,+0.14%
22.04.2025,1.1626,0.0029,+0.25%
23.04.2025,1.1598,-0.0028,-0.24%
24.04.2025,1.1624,0.0026,+0.22%
25.04.2025,1.1646,0.0022,+0.19%
28.04.2025,1.1636,-0.001,-0.09%
29.04.2025,1.167,0.0034,+0.29%
30.04.2025,1.165,-0.002,-0.17%
02.05.2025,1.1648,-0.0002,-0.02%
05.05.2025,1.1634,-0.0014,-0.12%
06.05.2025,1.1776,0.0142,+1.22%
07.05.2025,1.192,0.0144,+1.22%
08.05.2025,1.199,0.007,+0.59%
09.05.2025,1.2067,0.0077,+0.64%
12.05.2025,1.2043,-0.0024,-0.2%
13.05.2025,1.1999,-0.0044,-0.37%
14.05.2025,1.2018,0.0019,+0.16%
15.05.2025,1.2048,0.003,+0.25%
16.05.2025,1.2029,-0.0019,-0.16%
19.05.2025,1.1775,-0.0254,-2.11%
20.05.2025,1.1978,0.0203,+1.72%
21.05.2025,1.1944,-0.0034,-0.28%
22.05.2025,1.1904,-0.004,-0.33%
23.05.2025,1.1889,-0.0015,-0.13%
26.05.2025,1.1915,0.0026,+0.22%
27.05.2025,1.1909,-0.0006,-0.05%
28.05.2025,1.1909,,
29.05.2025,1.1952,0.0043,+0.36%
30.05.2025,1.1913,-0.0039,-0.33%
02.06.2025,1.1877,-0.0036,-0.3%
03.06.2025,1.1841,-0.0036,-0.3%
04.06.2025,1.1816,-0.0025,-0.21%
05.06.2025,1.1803,-0.0013,-0.11%
06.06.2025,1.1766,-0.0037,-0.31%
10.06.2025,1.1824,0.0058,+0.49%
11.06.2025,1.1802,-0.0022,-0.19%
12.06.2025,1.1798,-0.0004,-0.03%
13.06.2025,1.1776,-0.0022,-0.19%
16.06.2025,1.1799,0.0023,+0.2%
17.06.2025,1.1754,-0.0045,-0.38%
18.06.2025,1.1779,0.0025,+0.21%
19.06.2025,1.1771,-0.0008,-0.07%
20.06.2025,1.1822,0.0051,+0.43%
23.06.2025,1.1791,-0.0031,-0.26%
24.06.2025,1.186,0.0069,+0.59%
25.06.2025,1.1896,0.0036,+0.3%
26.06.2025,1.1943,0.0047,+0.4%
27.06.2025,1.1983,0.004,+0.33%
30.06.2025,1.197,-0.0013,-0.11%
01.07.2025,1.1969,-0.0001,-0.01%
02.07.2025,1.1914,-0.0055,-0.46%
03.07.2025,1.1884,-0.003,-0.25%
04.07.2025,1.1916,0.0032,+0.27%
07.07.2025,1.1927,0.0011,+0.09%
08.07.2025,1.1939,0.0012,+0.1%
09.07.2025,1.197,0.0031,+0.26%
10.07.2025,1.1961,-0.0009,-0.08%
11.07.2025,1.1937,-0.0024,-0.2%
14.07.2025,1.1917,-0.002,-0.17%
15.07.2025,1.1942,0.0025,+0.21%
16.07.2025,1.1909,-0.0033,-0.28%
17.07.2025,1.1925,0.0016,+0.13%
18.07.2025,1.194,0.0015,+0.13%
21.07.2025,1.195,0.001,+0.08%
22.07.2025,1.1915,-0.0035,-0.29%
23.07.2025,1.1918,0.0003,+0.03%
24.07.2025,1.1917,-0.0001,-0.01%
25.07.2025,1.1915,-0.0002,-0.02%
28.07.2025,1.1904,-0.0011,-0.09%
29.07.2025,1.1869,-0.0035,-0.29%
30.07.2025,1.1882,0.0013,+0.11%
31.07.2025,1.1893,0.0011,+0.09%
01.08.2025,1.1868,-0.0025,-0.21%
04.08.2025,1.1862,-0.0006,-0.05%
05.08.2025,1.1872,0.001,+0.08%
06.08.2025,1.1854,-0.0018,-0.15%
07.08.2025,1.1911,0.0057,+0.48%
08.08.2025,1.193,0.0019,+0.16%
11.08.2025,1.1916,-0.0014,-0.12%
12.08.2025,1.1896,-0.002,-0.17%
13.08.2025,1.1884,-0.0012,-0.1%
14.08.2025,1.1885,0.0001,+0.01%
18.08.2025,1.1891,0.0006,+0.05%
19.08.2025,1.192,0.0029,+0.24%
20.08.2025,1.1899,-0.0021,-0.18%
21.08.2025,1.19,0.0001,+0.01%
22.08.2025,1.1856,-0.0044,-0.37%
25.08.2025,1.185,-0.0006,-0.05%
26.08.2025,1.1859,0.0009,+0.08%
27.08.2025,1.1861,0.0002,+0.02%
28.08.2025,1.1878,0.0017,+0.14%
29.08.2025,1.1888,0.001,+0.08%
01.09.2025,1.1924,0.0036,+0.3%
02.09.2025,1.1912,-0.0012,-0.1%
03.09.2025,1.1941,0.0029,+0.24%
04.09.2025,1.1935,-0.0006,-0.05%
05.09.2025,1.1943,0.0008,+0.07%
08.09.2025,1.193,-0.0013,-0.11%
09.09.2025,1.1935,0.0005,+0.04%
10.09.2025,1.1918,-0.0017,-0.14%
11.09.2025,1.1884,-0.0034,-0.29%
12.09.2025,1.1906,0.0022,+0.19%
15.09.2025,1.192,0.0014,+0.12%
16.09.2025,1.1915,-0.0005,-0.04%
17.09.2025,1.1914,-0.0001,-0.01%
18.09.2025,1.1913,-0.0001,-0.01%
19.09.2025,1.1895,-0.0018,-0.15%
22.09.2025,1.1908,0.0013,+0.11%
23.09.2025,1.1934,0.0026,+0.22%
24.09.2025,1.1906,-0.0028,-0.23%
25.09.2025,1.1911,0.0005,+0.04%
26.09.2025,1.1902,-0.0009,-0.08%
29.09.2025,1.1893,-0.0009,-0.08%
30.09.2025,1.1893,,
01.10.2025,1.1933,0.004,+0.34%
02.10.2025,1.1941,0.0008,+0.07%
03.10.2025,1.1959,0.0018,+0.15%
06.10.2025,1.1962,0.0003,+0.03%
07.10.2025,1.1968,0.0006,+0.05%
08.10.2025,1.1986,0.0018,+0.15%
09.10.2025,1.1969,-0.0017,-0.14%
10.10.2025,1.1962,-0.0007,-0.06%
13.10.2025,1.1946,-0.0016,-0.13%
14.10.2025,1.194,-0.0006,-0.05%
15.10.2025,1.1958,0.0018,+0.15%
16.10.2025,1.1967,0.0009,+0.08%
17.10.2025,1.1965,-0.0002,-0.02%
20.10.2025,1.1995,0.003,+0.25%
21.10.2025,1.2001,0.0006,+0.05%
22.10.2025,1.1998,-0.0003,-0.02%
23.10.2025,1.2004,0.0006,+0.05%
24.10.2025,1.2006,0.0002,+0.02%
27.10.2025,1.2012,0.0006,+0.05%
28.10.2025,1.1999,-0.0013,-0.11%
29.10.2025,1.1993,-0.0006,-0.05%
30.10.2025,1.1984,-0.0009,-0.08%
31.10.2025,1.1947,-0.0037,-0.31%
03.11.2025,1.1962,0.0015,+0.13%
04.11.2025,1.1951,-0.0011,-0.09%
05.11.2025,1.1937,-0.0014,-0.12%
06.11.2025,1.1945,0.0008,+0.07%
07.11.2025,1.1968,0.0023,+0.19%
10.11.2025,1.201,0.0042,+0.35%
11.11.2025,1.2011,0.0001,+0.01%
12.11.2025,1.2021,0.001,+0.08%
13.11.2025,1.2021,,
14.11.2025,1.2013,-0.0008,-0.07%
17.11.2025,1.203,0.0017,+0.14%
18.11.2025,1.2006,-0.0024,-0.2%
19.11.2025,1.1998,-0.0008,-0.07%
20.11.2025,1.2025,0.0027,+0.23%
21.11.2025,1.1975,-0.005,-0.42%
24.11.2025,1.202,0.0045,+0.38%
25.11.2025,1.2033,0.0013,+0.11%
26.11.2025,1.2024,-0.0009,-0.07%
27.11.2025,1.2046,0.0022,+0.18%
28.11.2025,1.201,-0.0036,-0.3%
02.12.2025,1.2,-0.001,-0.08%
03.12.2025,1.203,0.003,+0.25%
04.12.2025,1.2039,0.0009,+0.07%
05.12.2025,1.2036,-0.0003,-0.02%
08.12.2025,1.2031,-0.0005,-0.04%
09.12.2025,1.2027,-0.0004,-0.03%
10.12.2025,1.2046,0.0019,+0.16%
11.12.2025,1.2034,-0.0012,-0.1%
12.12.2025,1.2042,0.0008,+0.07%
15.12.2025,1.2069,0.0027,+0.22%
16.12.2025,1.2069,,
17.12.2025,1.2076,0.0007,+0.06%
18.12.2025,1.2093,0.0017,+0.14%
19.12.2025,1.2085,-0.0008,-0.07%
22.12.2025,1.2088,0.0003,+0.02%
23.12.2025,1.2041,-0.0047,-0.39%
24.12.2025,1.2084,0.0043,+0.36%
29.12.2025,1.2046,-0.0038,-0.31%
30.12.2025,1.2052,0.0006,+0.05%
31.12.2025,1.2073,0.0021,+0.17%
05.01.2026,1.2073,,
08.01.2026,1.2078,0.0005,+0.04%
09.01.2026,1.2081,0.0003,+0.02%
12.01.2026,1.2088,0.0007,+0.06%
13.01.2026,1.2089,0.0001,+0.01%
14.01.2026,1.2082,-0.0007,-0.06%
15.01.2026,1.2092,0.001,+0.08%
16.01.2026,1.2059,-0.0033,-0.27%
19.01.2026,1.205,-0.0009,-0.07%
20.01.2026,1.2045,-0.0005,-0.04%
21.01.2026,1.2062,0.0017,+0.14%
22.01.2026,1.2091,0.0029,+0.24%
23.01.2026,1.2112,0.0021,+0.17%
26.01.2026,1.2112,,
27.01.2026,1.2127,0.0015,+0.12%
28.01.2026,1.2126,-0.0001,-0.01%
29.01.2026,1.2113,-0.0013,-0.11%
30.01.2026,1.2103,-0.001,-0.08%
02.02.2026,1.209,-0.0013,-0.11%
03.02.2026,1.2072,-0.0018,-0.15%
04.02.2026,1.2057,-0.0015,-0.12%
05.02.2026,1.2084,0.0027,+0.22%
06.02.2026,1.208,-0.0004,-0.03%
09.02.2026,1.2086,0.0006,+0.05%
10.02.2026,1.2082,-0.0004,-0.03%
11.02.2026,1.2075,-0.0007,-0.06%
12.02.2026,1.2081,0.0006,+0.05%
13.02.2026,1.2086,0.0005,+0.04%
16.02.2026,1.2105,0.0019,+0.16%
17.02.2026,1.2088,-0.0017,-0.14%
18.02.2026,1.2085,-0.0003,-0.02%
19.02.2026,1.2062,-0.0023,-0.19%
20.02.2026,1.2068,0.0006,+0.05%
23.02.2026,1.2088,0.002,+0.17%
24.02.2026,1.2078,-0.001,-0.08%
25.02.2026,1.208,0.0002,+0.02%
26.02.2026,1.2064,-0.0016,-0.13%
27.02.2026,1.2067,0.0003,+0.02%
02.03.2026,1.2053,-0.0014,-0.12%
03.03.2026,1.1915,-0.0138,-1.14%
04.03.2026,1.1956,0.0041,+0.34%
05.03.2026,1.1921,-0.0035,-0.29%
06.03.2026,1.1906,-0.0015,-0.13%
09.03.2026,1.1915,0.0009,+0.08%
10.03.2026,1.197,0.0055,+0.46%
11.03.2026,1.1959,-0.0011,-0.09%
12.03.2026,1.196,0.0001,+0.01%
13.03.2026,1.1943,-0.0017,-0.14%
16.03.2026,1.1946,0.0003,+0.03%
17.03.2026,1.1934,-0.0012,-0.1%
18.03.2026,1.1951,0.0017,+0.14%
19.03.2026,1.1906,-0.0045,-0.38%
20.03.2026,1.1903,-0.0003,-0.03%
23.03.2026,1.1895,-0.0008,-0.07%
24.03.2026,1.1927,0.0032,+0.27%
25.03.2026,1.1942,0.0015,+0.13%
26.03.2026,1.1923,-0.0019,-0.16%
27.03.2026,1.1893,-0.003,-0.25%
30.03.2026,1.1896,0.0003,+0.03%
31.03.2026,1.188,-0.0016,-0.13%
01.04.2026,1.1906,0.0026,+0.22%
02.04.2026,1.1892,-0.0014,-0.12%
03.04.2026,1.1916,0.0024,+0.2%
06.04.2026,1.194,0.0024,+0.2%
07.04.2026,1.1936,-0.0004,-0.03%
08.04.2026,1.1963,0.0027,+0.23%
09.04.2026,1.1964,0.0001,+0.01%
14.04.2026,1.1997,0.0033,+0.28%
15.04.2026,1.2012,0.0015,+0.13%
16.04.2026,1.2007,-0.0005,-0.04%
17.04.2026,1.2049,0.0042,+0.35%
20.04.2026,1.2043,-0.0006,-0.05%
21.04.2026,1.2055,0.0012,+0.1%
22.04.2026,1.2015,-0.004,-0.33%
23.04.2026,1.1982,-0.0033,-0.27%
24.04.2026,1.1996,0.0014,+0.12%
27.04.2026,1.1996,,
28.04.2026,1.1994,-0.0002,-0.02%
29.04.2026,1.1992,-0.0002,-0.02%
30.04.2026,1.2071,0.0079,+0.66%
04.05.2026,1.2222,0.0151,+1.25%
05.05.2026,1.227,0.0048,+0.39%
06.05.2026,1.2445,0.0175,+1.43%
07.05.2026,1.2448,0.0003,+0.02%
08.05.2026,1.2381,-0.0067,-0.54%
11.05.2026,1.2318,-0.0063,-0.51%
12.05.2026,1.2273,-0.0045,-0.37%
13.05.2026,1.2242,-0.0031,-0.25%
14.05.2026,1.2279,0.0037,+0.3%
15.05.2026,1.2264,-0.0015,-0.12%
18.05.2026,1.2271,0.0007,+0.06%
19.05.2026,1.2322,0.0051,+0.42%
20.05.2026,1.2302,-0.002,-0.16%
21.05.2026,1.2354,0.0052,+0.42%
22.05.2026,1.2366,0.0012,+0.1%
25.05.2026,1.2393,0.0027,+0.22%
26.05.2026,1.2372,-0.0021,-0.17%
27.05.2026,1.237,-0.0002,-0.02%
28.05.2026,1.2399,0.0029,+0.23%
29.05.2026,1.2407,0.0008,+0.06%
02.06.2026,1.2415,0.0008,+0.06%
03.06.2026,1.24,-0.0015,-0.12%
04.06.2026,1.2411,0.0011,+0.09%
05.06.2026,1.2395,-0.0016,-0.13%
